FileName,GrIxStatsMedian,GrIxStatsPerc5,SunElevationDeg,SunAzimuthDeg,filename,sunDiskCondition
img-2016-01-14T12-32-59devID2.jpg,0.753684198606025,0.616060630861571,24.8501502508205,176.356747452276,,Undefined
img-2016-01-14T12-33-29devID1.jpg,0.764351212750078,0.620070670437232,24.8350862787307,176.5018295651,,Undefined
img-2016-01-14T12-33-29devID2.jpg,0.759629123371872,0.61823511545852,24.8350862787307,176.5018295651,,Undefined
img-2016-01-14T12-33-59devID1.jpg,0.773321660262118,0.622595831963684,25.0792358344537,176.63964062751,,Undefined
img-2016-01-14T12-33-59devID2.jpg,0.760154394699292,0.621764919503634,25.0792358344537,176.63964062751,,Undefined
img-2016-01-14T12-34-29devID1.jpg,0.782112936912396,0.625537019350913,25.052194474773,176.516991807116,,Undefined
img-2016-01-14T12-34-29devID2.jpg,0.771346845917235,0.624979984014713,25.052194474773,176.516991807116,,Undefined
img-2016-01-14T12-35-00devID1.jpg,0.790135622991997,0.630480301486034,25.0361164246081,176.661843738647,,Undefined
img-2016-01-14T12-35-00devID2.jpg,0.780699375035533,0.628062499914731,25.0361164246081,176.661843738647,,Undefined
img-2016-01-14T12-35-30devID1.jpg,0.811993071293764,0.634420854768441,25.0197521183554,176.807010693502,,Undefined
img-2016-01-14T12-35-30devID2.jpg,0.800808933735328,0.631951994577343,25.0197521183554,176.807010693502,,Undefined
img-2016-01-14T12-36-00devID1.jpg,0.828930296598192,0.638776196198011,25.0041128465437,176.951683531787,,Undefined
img-2016-01-14T12-36-00devID2.jpg,0.820235642413007,0.635445971352804,25.0041128465437,176.951683531787,,Undefined
img-2016-01-14T12-36-30devID1.jpg,0.846222071584227,0.642946481877901,24.9873221095137,177.095894822312,,Undefined
img-2016-01-14T12-36-30devID2.jpg,0.834371947178417,0.640482741113909,24.9873221095137,177.095894822312,,Undefined
img-2016-01-14T12-37-00devID1.jpg,0.867618020529487,0.652626427735638,24.9702825448634,177.240815647803,,Undefined
img-2016-01-14T12-37-00devID2.jpg,0.856377050411508,0.64432955414769,24.9702825448634,177.240815647803,,Undefined
img-2016-01-14T12-37-30devID1.jpg,0.884337050483945,0.666954661657402,24.9525937767564,177.38535245706,,Undefined